season,week,n_elim,n_alive,season_len,num_episodes,week_start,week_end,elim_type,end_week,end_n,week_rel,remaining_weeks,need_elims,schedule_pressure,prev_elim_type,week_rel_bin,is_multi,multi_episode
3,7,1,5,10,2.0,2006-10-24,2006-10-30,single,10,2,0.7,3,3,0,none,6,0,1
3,8,1,4,10,2.0,2006-10-31,2006-11-06,single,10,2,0.8,2,2,0,single,7,0,1
3,9,1,3,10,2.0,2006-11-07,2006-11-13,single,10,2,0.9,1,1,0,single,8,0,1
3,10,0,2,10,2.0,2006-11-14,2006-11-15,none,10,2,1.0,0,0,0,single,9,0,1
4,1,0,11,10,1.0,2007-03-19,2007-03-25,none,10,3,0.1,9,8,-1,start,0,0,0
4,2,1,11,10,3.0,2007-03-26,2007-04-01,single,10,3,0.2,8,8,0,none,1,0,1
4,3,1,10,10,2.0,2007-04-02,2007-04-08,single,10,3,0.3,7,7,0,single,2,0,1
4,4,1,9,10,2.0,2007-04-09,2007-04-15,single,10,3,0.4,6,6,0,single,3,0,1
4,5,1,8,10,2.0,2007-04-16,2007-04-22,single,10,3,0.5,5,5,0,single,4,0,1
4,6,1,7,10,2.0,2007-04-23,2007-04-29,single,10,3,0.6,4,4,0,single,5,0,1
4,7,1,6,10,2.0,2007-04-30,2007-05-06,single,10,3,0.7,3,3,0,single,6,0,1
4,8,1,5,10,2.0,2007-05-07,2007-05-13,single,10,3,0.8,2,2,0,single,7,0,1
4,9,1,4,10,2.0,2007-05-14,2007-05-20,single,10,3,0.9,1,1,0,single,8,0,1
4,10,0,3,10,2.0,2007-05-21,2007-05-22,none,10,3,1.0,0,0,0,single,9,0,1
5,1,1,12,10,3.0,2007-09-24,2007-09-30,single,10,3,0.1,9,9,0,start,0,0,1
5,2,1,11,10,2.0,2007-10-01,2007-10-07,single,10,3,0.2,8,8,0,single,1,0,1
5,3,1,10,10,2.0,2007-10-08,2007-10-14,single,10,3,0.3,7,7,0,single,2,0,1
5,4,0,9,10,2.0,2007-10-15,2007-10-21,none,10,3,0.4,6,6,0,single,3,0,1
5,5,1,8,10,2.0,2007-10-22,2007-10-28,single,10,3,0.5,5,5,0,none,4,0,1
5,6,1,7,10,2.0,2007-10-29,2007-11-04,single,10,3,0.6,4,4,0,single,5,0,1
5,7,1,6,10,2.0,2007-11-05,2007-11-11,single,10,3,0.7,3,3,0,single,6,0,1
5,8,1,5,10,2.0,2007-11-12,2007-11-18,single,10,3,0.8,2,2,0,single,7,0,1
5,9,1,4,10,2.0,2007-11-19,2007-11-25,single,10,3,0.9,1,1,0,single,8,0,1
5,10,0,3,10,2.0,2007-11-26,2007-11-27,none,10,3,1.0,0,0,0,single,9,0,1
6,1,0,12,10,2.0,2008-03-17,2008-03-23,none,10,3,0.1,9,9,0,start,0,0,1
6,2,2,12,10,3.0,2008-03-24,2008-03-30,multi,10,3,0.2,8,9,1,none,1,1,1
6,3,1,10,10,2.0,2008-03-31,2008-04-06,single,10,3,0.3,7,7,0,multi,2,0,1
6,4,1,9,10,2.0,2008-04-07,2008-04-13,single,10,3,0.4,6,6,0,single,3,0,1
6,5,1,8,10,2.0,2008-04-14,2008-04-20,single,10,3,0.5,5,5,0,single,4,0,1
6,6,1,7,10,2.0,2008-04-21,2008-04-27,single,10,3,0.6,4,4,0,single,5,0,1
6,7,1,6,10,2.0,2008-04-28,2008-05-04,single,10,3,0.7,3,3,0,single,6,0,1
6,8,1,5,10,2.0,2008-05-05,2008-05-11,single,10,3,0.8,2,2,0,single,7,0,1
6,9,1,4,10,2.0,2008-05-12,2008-05-18,single,10,3,0.9,1,1,0,single,8,0,1
6,10,0,3,10,2.0,2008-05-19,2008-05-20,none,10,3,1.0,0,0,0,single,9,0,1
7,1,2,13,10,3.0,2008-09-22,2008-09-28,multi,10,3,0.1,9,10,1,start,0,1,1
7,2,2,11,10,2.0,2008-09-29,2008-10-05,multi,10,3,0.2,8,8,0,multi,1,1,1
7,3,0,9,10,2.0,2008-10-06,2008-10-12,none,10,3,0.3,7,6,-1,multi,2,0,1
7,4,1,9,10,2.0,2008-10-13,2008-10-19,single,10,3,0.4,6,6,0,none,3,0,1
7,5,1,8,10,2.0,2008-10-20,2008-10-26,single,10,3,0.5,5,5,0,single,4,0,1
7,6,1,7,10,2.0,2008-10-27,2008-11-02,single,10,3,0.6,4,4,0,single,5,0,1
7,7,1,6,10,2.0,2008-11-03,2008-11-09,single,10,3,0.7,3,3,0,single,6,0,1
7,8,1,5,10,2.0,2008-11-10,2008-11-16,single,10,3,0.8,2,2,0,single,7,0,1
7,9,1,4,10,2.0,2008-11-17,2008-11-23,single,10,3,0.9,1,1,0,single,8,0,1
7,10,0,3,10,2.0,2008-11-24,2008-11-25,none,10,3,1.0,0,0,0,single,9,0,1
8,1,0,13,11,1.0,2009-03-09,2009-03-15,none,11,3,0.09090909090909091,10,10,0,start,0,0,0
8,2,1,13,11,2.0,2009-03-16,2009-03-22,single,11,3,0.18181818181818182,9,10,1,none,0,0,1
8,3,1,12,11,2.0,2009-03-23,2009-03-29,single,11,3,0.2727272727272727,8,9,1,single,1,0,1
8,4,2,11,11,2.0,2009-03-30,2009-04-05,multi,11,3,0.36363636363636365,7,8,1,single,2,1,1
8,5,1,9,11,2.0,2009-04-06,2009-04-12,single,11,3,0.45454545454545453,6,6,0,multi,3,0,1
8,6,1,8,11,2.0,2009-04-13,2009-04-19,single,11,3,0.5454545454545454,5,5,0,single,4,0,1
8,7,1,7,11,2.0,2009-04-20,2009-04-26,single,11,3,0.6363636363636364,4,4,0,single,5,0,1
8,8,1,6,11,2.0,2009-04-27,2009-05-03,single,11,3,0.7272727272727273,3,3,0,single,6,0,1
8,9,1,5,11,2.0,2009-05-04,2009-05-10,single,11,3,0.8181818181818182,2,2,0,single,7,0,1
8,10,1,4,11,2.0,2009-05-11,2009-05-17,single,11,3,0.9090909090909091,1,1,0,single,8,0,1
8,11,0,3,11,2.0,2009-05-18,2009-05-19,none,11,3,1.0,0,0,0,single,9,0,1
9,1,2,16,10,3.0,2009-09-21,2009-09-27,multi,10,3,0.1,9,13,4,start,0,1,1
9,2,1,14,10,2.0,2009-09-28,2009-10-04,single,10,3,0.2,8,11,3,multi,1,0,1
9,3,2,13,10,2.0,2009-10-05,2009-10-11,multi,10,3,0.3,7,10,3,single,2,1,1
9,4,1,11,10,2.0,2009-10-12,2009-10-18,single,10,3,0.4,6,8,2,multi,3,0,1
9,5,1,10,10,2.0,2009-10-19,2009-10-25,single,10,3,0.5,5,7,2,single,4,0,1
9,6,2,9,10,2.0,2009-10-26,2009-11-01,multi,10,3,0.6,4,6,2,single,5,1,1
9,7,2,7,10,2.0,2009-11-02,2009-11-08,multi,10,3,0.7,3,4,1,multi,6,1,1
9,8,1,5,10,2.0,2009-11-09,2009-11-15,single,10,3,0.8,2,2,0,multi,7,0,1
9,9,1,4,10,2.0,2009-11-16,2009-11-22,single,10,3,0.9,1,1,0,single,8,0,1
9,10,0,3,10,2.0,2009-11-23,2009-11-24,none,10,3,1.0,0,0,0,single,9,0,1
10,1,0,11,10,1.0,2010-03-22,2010-03-28,none,10,3,0.1,9,8,-1,start,0,0,0
10,2,1,11,10,2.0,2010-03-29,2010-04-04,single,10,3,0.2,8,8,0,none,1,0,1
10,3,1,10,10,2.0,2010-04-05,2010-04-11,single,10,3,0.3,7,7,0,single,2,0,1
10,4,1,9,10,2.0,2010-04-12,2010-04-18,single,10,3,0.4,6,6,0,single,3,0,1
10,5,1,8,10,2.0,2010-04-19,2010-04-25,single,10,3,0.5,5,5,0,single,4,0,1
10,6,1,7,10,2.0,2010-04-26,2010-05-02,single,10,3,0.6,4,4,0,single,5,0,1
10,7,1,6,10,2.0,2010-05-03,2010-05-09,single,10,3,0.7,3,3,0,single,6,0,1
10,8,1,5,10,2.0,2010-05-10,2010-05-16,single,10,3,0.8,2,2,0,single,7,0,1
10,9,1,4,10,2.0,2010-05-17,2010-05-23,single,10,3,0.9,1,1,0,single,8,0,1
10,10,0,3,10,2.0,2010-05-24,2010-05-25,none,10,3,1.0,0,0,0,single,9,0,1
11,1,1,12,10,2.0,2010-09-20,2010-09-26,single,10,3,0.1,9,9,0,start,0,0,1
11,2,1,11,10,2.0,2010-09-27,2010-10-03,single,10,3,0.2,8,8,0,single,1,0,1
11,3,1,10,10,2.0,2010-10-04,2010-10-10,single,10,3,0.3,7,7,0,single,2,0,1
11,4,1,9,10,2.0,2010-10-11,2010-10-17,single,10,3,0.4,6,6,0,single,3,0,1
11,5,1,8,10,2.0,2010-10-18,2010-10-24,single,10,3,0.5,5,5,0,single,4,0,1
11,6,1,7,10,2.0,2010-10-25,2010-10-31,single,10,3,0.6,4,4,0,single,5,0,1
11,7,1,6,10,2.0,2010-11-01,2010-11-07,single,10,3,0.7,3,3,0,single,6,0,1
11,8,1,5,10,2.0,2010-11-08,2010-11-14,single,10,3,0.8,2,2,0,single,7,0,1
11,9,1,4,10,2.0,2010-11-15,2010-11-21,single,10,3,0.9,1,1,0,single,8,0,1
11,10,0,3,10,2.0,2010-11-22,2010-11-23,none,10,3,1.0,0,0,0,single,9,0,1
12,1,0,11,10,1.0,2011-03-21,2011-03-27,none,10,3,0.1,9,8,-1,start,0,0,0
12,2,1,11,10,3.0,2011-03-28,2011-04-03,single,10,3,0.2,8,8,0,none,1,0,1
12,3,1,10,10,2.0,2011-04-04,2011-04-10,single,10,3,0.3,7,7,0,single,2,0,1
12,4,1,9,10,2.0,2011-04-11,2011-04-17,single,10,3,0.4,6,6,0,single,3,0,1
12,5,1,8,10,2.0,2011-04-18,2011-04-24,single,10,3,0.5,5,5,0,single,4,0,1
12,6,1,7,10,2.0,2011-04-25,2011-05-01,single,10,3,0.6,4,4,0,single,5,0,1
12,7,1,6,10,2.0,2011-05-02,2011-05-08,single,10,3,0.7,3,3,0,single,6,0,1
12,8,1,5,10,2.0,2011-05-09,2011-05-15,single,10,3,0.8,2,2,0,single,7,0,1
12,9,1,4,10,2.0,2011-05-16,2011-05-22,single,10,3,0.9,1,1,0,single,8,0,1
12,10,0,3,10,2.0,2011-05-23,2011-05-24,none,10,3,1.0,0,0,0,single,9,0,1
13,1,1,12,10,2.0,2011-09-19,2011-09-25,single,10,3,0.1,9,9,0,start,0,0,1
13,2,1,11,10,2.0,2011-09-26,2011-10-02,single,10,3,0.2,8,8,0,single,1,0,1
13,3,1,10,10,2.0,2011-10-03,2011-10-09,single,10,3,0.3,7,7,0,single,2,0,1
13,4,1,9,10,2.0,2011-10-10,2011-10-16,single,10,3,0.4,6,6,0,single,3,0,1
13,5,1,8,10,2.0,2011-10-17,2011-10-23,single,10,3,0.5,5,5,0,single,4,0,1
13,6,1,7,10,2.0,2011-10-24,2011-10-30,single,10,3,0.6,4,4,0,single,5,0,1
13,7,1,6,10,2.0,2011-10-31,2011-11-06,single,10,3,0.7,3,3,0,single,6,0,1
13,8,1,5,10,2.0,2011-11-07,2011-11-13,single,10,3,0.8,2,2,0,single,7,0,1
13,9,1,4,10,2.0,2011-11-14,2011-11-20,single,10,3,0.9,1,1,0,single,8,0,1
13,10,0,3,10,2.0,2011-11-21,2011-11-22,none,10,3,1.0,0,0,0,single,9,0,1
14,1,0,12,10,1.0,2012-03-19,2012-03-25,none,10,3,0.1,9,9,0,start,0,0,0
14,2,1,12,10,2.0,2012-03-26,2012-04-01,single,10,3,0.2,8,9,1,none,1,0,1
14,3,1,11,10,2.0,2012-04-02,2012-04-08,single,10,3,0.3,7,8,1,single,2,0,1
14,4,1,10,10,2.0,2012-04-09,2012-04-15,single,10,3,0.4,6,7,1,single,3,0,1
14,5,1,9,10,2.0,2012-04-16,2012-04-22,single,10,3,0.5,5,6,1,single,4,0,1
14,6,1,8,10,2.0,2012-04-23,2012-04-29,single,10,3,0.6,4,5,1,single,5,0,1
14,7,1,7,10,2.0,2012-04-30,2012-05-06,single,10,3,0.7,3,4,1,single,6,0,1
14,8,2,6,10,2.0,2012-05-07,2012-05-13,multi,10,3,0.8,2,3,1,single,7,1,1
14,9,1,4,10,2.0,2012-05-14,2012-05-20,single,10,3,0.9,1,1,0,multi,8,0,1
14,10,0,3,10,2.0,2012-05-21,2012-05-22,none,10,3,1.0,0,0,0,single,9,0,1
15,1,1,13,10,2.0,2012-09-24,2012-09-30,single,10,3,0.1,9,10,1,start,0,0,1
15,2,1,12,10,2.0,2012-10-01,2012-10-07,single,10,3,0.2,8,9,1,single,1,0,1
15,3,2,11,10,2.0,2012-10-08,2012-10-14,multi,10,3,0.3,7,8,1,single,2,1,1
15,4,1,9,10,2.0,2012-10-15,2012-10-21,single,10,3,0.4,6,6,0,multi,3,0,1
15,5,0,8,10,2.0,2012-10-22,2012-10-28,none,10,3,0.5,5,5,0,single,4,0,1
15,6,1,8,10,2.0,2012-10-29,2012-11-04,single,10,3,0.6,4,5,1,none,5,0,1
15,7,0,7,10,1.0,2012-11-05,2012-11-11,none,10,3,0.7,3,4,1,single,6,0,0
15,8,2,7,10,2.0,2012-11-12,2012-11-18,multi,10,3,0.8,2,4,2,none,7,1,1
15,9,2,5,10,2.0,2012-11-19,2012-11-25,multi,10,3,0.9,1,2,1,multi,8,1,1
15,10,0,3,10,2.0,2012-11-26,2012-11-27,none,10,3,1.0,0,0,0,multi,9,0,1
16,1,0,12,10,1.0,2013-03-18,2013-03-24,none,10,4,0.1,9,8,-1,start,0,0,0
16,2,1,12,10,2.0,2013-03-25,2013-03-31,single,10,4,0.2,8,8,0,none,1,0,1
16,3,1,11,10,2.0,2013-04-01,2013-04-07,single,10,4,0.3,7,7,0,single,2,0,1
16,4,1,10,10,2.0,2013-04-08,2013-04-14,single,10,4,0.4,6,6,0,single,3,0,1
16,5,1,9,10,2.0,2013-04-15,2013-04-21,single,10,4,0.5,5,5,0,single,4,0,1
16,6,1,8,10,2.0,2013-04-22,2013-04-28,single,10,4,0.6,4,4,0,single,5,0,1
16,7,1,7,10,2.0,2013-04-29,2013-05-05,single,10,4,0.7,3,3,0,single,6,0,1
16,8,1,6,10,2.0,2013-05-06,2013-05-12,single,10,4,0.8,2,2,0,single,7,0,1
16,9,1,5,10,2.0,2013-05-13,2013-05-19,single,10,4,0.9,1,1,0,single,8,0,1
16,10,0,4,10,2.0,2013-05-20,2013-05-21,none,10,4,1.0,0,0,0,single,9,0,1
17,1,0,12,11,1.0,2013-09-16,2013-09-22,none,11,4,0.09090909090909091,10,8,-2,start,0,0,0
17,2,1,12,11,1.0,2013-09-23,2013-09-29,single,11,4,0.18181818181818182,9,8,-1,none,0,0,0
17,3,1,11,11,1.0,2013-09-30,2013-10-06,single,11,4,0.2727272727272727,8,7,-1,single,1,0,0
17,4,1,10,11,1.0,2013-10-07,2013-10-13,single,11,4,0.36363636363636365,7,6,-1,single,2,0,0
17,5,1,9,11,1.0,2013-10-14,2013-10-20,single,11,4,0.45454545454545453,6,5,-1,single,3,0,0
17,6,0,8,11,1.0,2013-10-21,2013-10-27,none,11,4,0.5454545454545454,5,4,-1,single,4,0,0
17,7,1,8,11,1.0,2013-10-28,2013-11-03,single,11,4,0.6363636363636364,4,4,0,none,5,0,0
17,8,1,7,11,1.0,2013-11-04,2013-11-10,single,11,4,0.7272727272727273,3,3,0,single,6,0,0
17,9,1,6,11,1.0,2013-11-11,2013-11-17,single,11,4,0.8181818181818182,2,2,0,single,7,0,0
17,10,1,5,11,1.0,2013-11-18,2013-11-24,single,11,4,0.9090909090909091,1,1,0,single,8,0,0
17,11,0,4,11,2.0,2013-11-25,2013-11-26,none,11,4,1.0,0,0,0,single,9,0,1
18,1,1,12,10,1.0,2014-03-17,2014-03-23,single,10,4,0.1,9,8,-1,start,0,0,0
18,2,2,11,10,1.0,2014-03-24,2014-03-30,multi,10,4,0.2,8,7,-1,single,1,1,0
18,3,0,9,10,1.0,2014-03-31,2014-04-06,none,10,4,0.3,7,5,-2,multi,2,0,0
18,4,0,9,10,1.0,2014-04-07,2014-04-13,none,10,4,0.4,6,5,-1,none,3,0,0
18,5,1,9,10,1.0,2014-04-14,2014-04-20,single,10,4,0.5,5,5,0,none,4,0,0
18,6,1,8,10,1.0,2014-04-21,2014-04-27,single,10,4,0.6,4,4,0,single,5,0,0
18,7,1,7,10,1.0,2014-04-28,2014-05-04,single,10,4,0.7,3,3,0,single,6,0,0
18,8,1,6,10,1.0,2014-05-05,2014-05-11,single,10,4,0.8,2,2,0,single,7,0,0
18,9,1,5,10,1.0,2014-05-12,2014-05-18,single,10,4,0.9,1,1,0,single,8,0,0
18,10,0,4,10,2.0,2014-05-19,2014-05-20,none,10,4,1.0,0,0,0,single,9,0,1
19,1,1,13,11,2.0,2014-09-15,2014-09-21,single,11,4,0.09090909090909091,10,9,-1,start,0,0,1
19,2,1,12,11,2.0,2014-09-22,2014-09-28,single,11,4,0.18181818181818182,9,8,-1,single,0,0,1
19,3,1,11,11,1.0,2014-09-29,2014-10-05,single,11,4,0.2727272727272727,8,7,-1,single,1,0,0
19,4,1,10,11,1.0,2014-10-06,2014-10-12,single,11,4,0.36363636363636365,7,6,-1,single,2,0,0
19,5,0,9,11,1.0,2014-10-13,2014-10-19,none,11,4,0.45454545454545453,6,5,-1,single,3,0,0
19,6,1,9,11,1.0,2014-10-20,2014-10-26,single,11,4,0.5454545454545454,5,5,0,none,4,0,0
19,7,1,8,11,1.0,2014-10-27,2014-11-02,single,11,4,0.6363636363636364,4,4,0,single,5,0,0
19,8,1,7,11,1.0,2014-11-03,2014-11-09,single,11,4,0.7272727272727273,3,3,0,single,6,0,0
19,9,1,6,11,1.0,2014-11-10,2014-11-16,single,11,4,0.8181818181818182,2,2,0,single,7,0,0
19,10,1,5,11,1.0,2014-11-17,2014-11-23,single,11,4,0.9090909090909091,1,1,0,single,8,0,0
19,11,0,4,11,2.0,2014-11-24,2014-11-25,none,11,4,1.0,0,0,0,single,9,0,1
20,1,0,12,10,1.0,2015-03-16,2015-03-22,none,10,3,0.1,9,9,0,start,0,0,0
20,2,1,12,10,1.0,2015-03-23,2015-03-29,single,10,3,0.2,8,9,1,none,1,0,0
20,3,1,11,10,1.0,2015-03-30,2015-04-05,single,10,3,0.3,7,8,1,single,2,0,0
20,4,1,10,10,1.0,2015-04-06,2015-04-12,single,10,3,0.4,6,7,1,single,3,0,0
20,5,1,9,10,1.0,2015-04-13,2015-04-19,single,10,3,0.5,5,6,1,single,4,0,0
20,6,1,8,10,1.0,2015-04-20,2015-04-26,single,10,3,0.6,4,5,1,single,5,0,0
20,7,1,7,10,1.0,2015-04-27,2015-05-03,single,10,3,0.7,3,4,1,single,6,0,0
20,8,2,6,10,2.0,2015-05-04,2015-05-10,multi,10,3,0.8,2,3,1,single,7,1,1
20,9,1,4,10,2.0,2015-05-11,2015-05-17,single,10,3,0.9,1,1,0,multi,8,0,1
20,10,0,3,10,2.0,2015-05-18,2015-05-19,none,10,3,1.0,0,0,0,single,9,0,1
21,1,0,13,11,2.0,2015-09-14,2015-09-20,none,11,4,0.09090909090909091,10,9,-1,start,0,0,1
21,2,3,13,11,2.0,2015-09-21,2015-09-27,multi,11,4,0.18181818181818182,9,9,0,none,0,1,1
21,3,0,10,11,1.0,2015-09-28,2015-10-04,none,11,4,0.2727272727272727,8,6,-2,multi,1,0,0
21,4,1,10,11,1.0,2015-10-05,2015-10-11,single,11,4,0.36363636363636365,7,6,-1,none,2,0,0
21,5,0,9,11,1.0,2015-10-12,2015-10-18,none,11,4,0.45454545454545453,6,5,-1,single,3,0,0
21,6,1,9,11,1.0,2015-10-19,2015-10-25,single,11,4,0.5454545454545454,5,5,0,none,4,0,0
21,7,1,8,11,1.0,2015-10-26,2015-11-01,single,11,4,0.6363636363636364,4,4,0,single,5,0,0
21,8,1,7,11,1.0,2015-11-02,2015-11-08,single,11,4,0.7272727272727273,3,3,0,single,6,0,0
21,9,2,6,11,1.0,2015-11-09,2015-11-15,multi,11,4,0.8181818181818182,2,2,0,single,7,1,0
21,10,0,4,11,1.0,2015-11-16,2015-11-22,none,11,4,0.9090909090909091,1,0,-1,multi,8,0,0
21,11,0,4,11,2.0,2015-11-23,2015-11-24,none,11,4,1.0,0,0,0,none,9,0,1
22,1,0,12,10,1.0,2016-03-21,2016-03-27,none,10,3,0.1,9,9,0,start,0,0,0
22,2,1,12,10,1.0,2016-03-28,2016-04-03,single,10,3,0.2,8,9,1,none,1,0,0
22,3,1,11,10,1.0,2016-04-04,2016-04-10,single,10,3,0.3,7,8,1,single,2,0,0
22,4,1,10,10,1.0,2016-04-11,2016-04-17,single,10,3,0.4,6,7,1,single,3,0,0
22,5,0,9,10,1.0,2016-04-18,2016-04-24,none,10,3,0.5,5,6,1,single,4,0,0
22,6,1,9,10,1.0,2016-04-25,2016-05-01,single,10,3,0.6,4,6,2,none,5,0,0
22,7,2,8,10,1.0,2016-05-02,2016-05-08,multi,10,3,0.7,3,5,2,single,6,1,0
22,8,1,6,10,1.0,2016-05-09,2016-05-15,single,10,3,0.8,2,3,1,multi,7,0,0
22,9,2,5,10,1.0,2016-05-16,2016-05-22,multi,10,3,0.9,1,2,1,single,8,1,0
22,10,0,3,10,2.0,2016-05-23,2016-05-24,none,10,3,1.0,0,0,0,multi,9,0,1
23,1,0,13,11,1.0,2016-09-12,2016-09-18,none,11,4,0.09090909090909091,10,9,-1,start,0,0,0
23,2,1,13,11,2.0,2016-09-19,2016-09-25,single,11,4,0.18181818181818182,9,9,0,none,0,0,1
23,3,1,12,11,2.0,2016-09-26,2016-10-02,single,11,4,0.2727272727272727,8,8,0,single,1,0,1
23,4,2,11,11,2.0,2016-10-03,2016-10-09,multi,11,4,0.36363636363636365,7,7,0,single,2,1,1
23,5,0,9,11,1.0,2016-10-10,2016-10-16,none,11,4,0.45454545454545453,6,5,-1,multi,3,0,0
23,6,1,9,11,1.0,2016-10-17,2016-10-23,single,11,4,0.5454545454545454,5,5,0,none,4,0,0
23,7,1,8,11,1.0,2016-10-24,2016-10-30,single,11,4,0.6363636363636364,4,4,0,single,5,0,0
23,8,1,7,11,1.0,2016-10-31,2016-11-06,single,11,4,0.7272727272727273,3,3,0,single,6,0,0
23,9,1,6,11,1.0,2016-11-07,2016-11-13,single,11,4,0.8181818181818182,2,2,0,single,7,0,0
23,10,1,5,11,1.0,2016-11-14,2016-11-20,single,11,4,0.9090909090909091,1,1,0,single,8,0,0
23,11,0,4,11,2.0,2016-11-21,2016-11-22,none,11,4,1.0,0,0,0,single,9,0,1
24,1,0,12,10,1.0,2017-03-20,2017-03-26,none,10,3,0.1,9,9,0,start,0,0,0
24,2,1,12,10,1.0,2017-03-27,2017-04-02,single,10,3,0.2,8,9,1,none,1,0,0
24,3,1,11,10,1.0,2017-04-03,2017-04-09,single,10,3,0.3,7,8,1,single,2,0,0
24,4,1,10,10,1.0,2017-04-10,2017-04-16,single,10,3,0.4,6,7,1,single,3,0,0
24,5,1,9,10,1.0,2017-04-17,2017-04-23,single,10,3,0.5,5,6,1,single,4,0,0
24,6,1,8,10,1.0,2017-04-24,2017-04-30,single,10,3,0.6,4,5,1,single,5,0,0
24,7,2,7,10,1.0,2017-05-01,2017-05-07,multi,10,3,0.7,3,4,1,single,6,1,0
24,8,1,5,10,1.0,2017-05-08,2017-05-14,single,10,3,0.8,2,2,0,multi,7,0,0
24,9,1,4,10,1.0,2017-05-15,2017-05-21,single,10,3,0.9,1,1,0,single,8,0,0
24,10,0,3,10,2.0,2017-05-22,2017-05-23,none,10,3,1.0,0,0,0,single,9,0,1
25,1,0,13,10,1.0,2017-09-18,2017-09-24,none,10,4,0.1,9,9,0,start,0,0,0
25,2,2,13,10,2.0,2017-09-25,2017-10-01,multi,10,4,0.2,8,9,1,none,1,1,1
25,3,0,11,10,1.0,2017-10-02,2017-10-08,none,10,4,0.3,7,7,0,multi,2,0,0
25,4,1,11,10,1.0,2017-10-09,2017-10-15,single,10,4,0.4,6,7,1,none,3,0,0
25,5,1,10,10,1.0,2017-10-16,2017-10-22,single,10,4,0.5,5,6,1,single,4,0,0
25,6,1,9,10,1.0,2017-10-23,2017-10-29,single,10,4,0.6,4,5,1,single,5,0,0
25,7,2,8,10,1.0,2017-10-30,2017-11-05,multi,10,4,0.7,3,4,1,single,6,1,0
25,8,1,6,10,1.0,2017-11-06,2017-11-12,single,10,4,0.8,2,2,0,multi,7,0,0
25,9,1,5,10,1.0,2017-11-13,2017-11-19,single,10,4,0.9,1,1,0,single,8,0,0
25,10,0,4,10,2.0,2017-11-20,2017-11-21,none,10,4,1.0,0,0,0,single,9,0,1
26,1,2,10,4,1.0,2018-04-30,2018-05-06,multi,4,3,0.25,3,7,4,start,1,1,0
26,2,2,8,4,1.0,2018-05-07,2018-05-13,multi,4,3,0.5,2,5,3,multi,4,1,0
26,3,3,6,4,1.0,2018-05-14,2018-05-20,multi,4,3,0.75,1,3,2,multi,7,1,0
26,4,0,3,4,1.0,2018-05-21,2018-05-21,none,4,3,1.0,0,0,0,multi,9,0,0
27,1,1,13,9,2.0,2018-09-24,2018-09-30,single,9,4,0.1111111111111111,8,9,1,start,0,0,1
27,2,1,12,9,2.0,2018-10-01,2018-10-07,single,9,4,0.2222222222222222,7,8,1,single,1,0,1
27,3,1,11,9,1.0,2018-10-08,2018-10-14,single,9,4,0.3333333333333333,6,7,1,single,2,0,0
27,4,1,10,9,1.0,2018-10-15,2018-10-21,single,9,4,0.4444444444444444,5,6,1,single,3,0,0
27,5,0,9,9,1.0,2018-10-22,2018-10-28,none,9,4,0.5555555555555556,4,5,1,single,5,0,0
