season,week,week_exists,season_len,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,judge_n,n_alive_w,performed,in_competition,elim_week,eliminated_end_of_week,j_total_raw,j_mean_raw,j_sd_raw,j_total,j_mean,j_sd,j_rank,tie_flag,j_points_rank,j_pct,j_z_within_week,delta_j_total,week_start,week_end,num_episodes,trend_date,window_start,window_end,trend_preday,trend_startday,trend_used_window_mean,trend_used,name,awards_pre_t0,awards_total
9.0,10.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,3.0,False,False,8.0,False,0.0,0.0,0.0,,,,,False,,,,,2009/11/23,2009/11/24,2.0,2009/11/22,2009/11/20,2009/11/22,13.0,6.0,11.33333333,11.33333333,Aaron Carter,0.0,0.0
9.0,11.0,False,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,0.0,0.0,False,False,8.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Aaron Carter,0.0,0.0
6.0,1.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,12.0,True,True,4.0,False,15.0,5.0,0.0,15.0,5.0,0.0,11.5,True,1.5,0.061728395,-1.358635496,,2008/3/17,2008/3/23,2.0,2008/3/16,2008/3/17,2008/3/17,,27.0,27.0,27.0,Adam Carolla,0.0,0.0
6.0,2.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,12.0,True,True,4.0,False,19.0,6.333333333,0.577350269,19.0,6.333333333,0.577350269,9.0,False,4.0,0.073929961,-0.574101401,4.0,2008/3/24,2008/3/30,3.0,2008/3/23,2008/3/21,2008/3/23,20.0,31.0,29.66666667,29.66666667,Adam Carolla,0.0,0.0
6.0,3.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,10.0,True,True,4.0,False,21.0,7.0,0.0,21.0,7.0,0.0,7.5,True,3.5,0.092105263,-0.688023708,2.0,2008/3/31,2008/4/6,2.0,2008/3/30,2008/3/28,2008/3/30,18.0,20.0,21.0,21.0,Adam Carolla,0.0,0.0
6.0,4.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,9.0,True,True,4.0,True,19.0,6.333333333,0.577350269,19.0,6.333333333,0.577350269,9.0,False,1.0,0.084444444,-1.788854382,-2.0,2008/4/7,2008/4/13,2.0,2008/4/6,2008/4/4,2008/4/6,0.0,25.0,14.0,14.0,Adam Carolla,0.0,0.0
6.0,5.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,8.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/4/14,2008/4/20,2.0,2008/4/13,2008/4/11,2008/4/13,14.0,18.0,29.0,29.0,Adam Carolla,0.0,0.0
6.0,6.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,7.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/4/21,2008/4/27,2.0,2008/4/20,2008/4/18,2008/4/20,25.0,16.0,17.66666667,17.66666667,Adam Carolla,0.0,0.0
6.0,7.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,6.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/4/28,2008/5/4,2.0,2008/4/27,2008/4/25,2008/4/27,0.0,26.0,6.666666667,6.666666667,Adam Carolla,0.0,0.0
6.0,8.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,5.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/5/5,2008/5/11,2.0,2008/5/4,2008/5/2,2008/5/4,0.0,23.0,11.0,11.0,Adam Carolla,0.0,0.0
6.0,9.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,4.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/5/12,2008/5/18,2.0,2008/5/11,2008/5/9,2008/5/11,0.0,15.0,7.333333333,7.333333333,Adam Carolla,0.0,0.0
6.0,10.0,True,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,3.0,3.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2008/5/19,2008/5/20,2.0,2008/5/18,2008/5/16,2008/5/18,0.0,13.0,3.0,3.0,Adam Carolla,0.0,0.0
6.0,11.0,False,10.0,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,Eliminated Week 4,9.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Carolla,0.0,0.0
26.0,1.0,True,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,3.0,10.0,True,True,4.0,False,24.0,8.0,0.0,24.0,8.0,0.0,1.5,True,9.5,0.114285714,1.202675589,,2018/4/30,2018/5/6,1.0,2018/4/29,2018/4/30,2018/4/30,,17.0,17.0,17.0,Adam Rippon,1.0,1.0
26.0,2.0,True,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,4.0,8.0,True,True,4.0,False,37.0,9.25,0.288675135,37.0,9.25,0.288675135,1.5,True,7.5,0.138317757,1.317011009,13.0,2018/5/7,2018/5/13,1.0,2018/5/6,2018/5/4,2018/5/6,13.0,14.0,15.33333333,15.33333333,Adam Rippon,1.0,1.0
26.0,3.0,True,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,4.0,6.0,True,True,4.0,False,41.0,10.25,0.5,41.0,10.25,0.5,1.0,False,6.0,0.194312796,1.416180239,4.0,2018/5/14,2018/5/20,1.0,2018/5/13,2018/5/11,2018/5/13,13.0,14.0,11.0,11.0,Adam Rippon,1.0,1.0
26.0,4.0,True,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,3.0,3.0,True,True,4.0,False,29.0,9.666666667,0.288675135,29.0,9.666666667,0.288675135,1.0,False,3.0,0.339181287,1.0,-12.0,2018/5/21,2018/5/21,1.0,2018/5/20,2018/5/18,2018/5/20,10.0,14.0,9.666666667,9.666666667,Adam Rippon,1.0,1.0
26.0,5.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,6.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,7.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,8.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,9.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,10.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
26.0,11.0,False,4.0,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,1st Place,1.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Adam Rippon,1.0,1.0
32.0,1.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,14.0,True,True,4.0,False,18.0,6.0,0.0,18.0,6.0,0.0,5.5,True,9.5,0.077922078,0.428235426,,2023/9/26,2023/10/2,1.0,2023/9/25,2023/9/26,2023/9/26,,15.0,15.0,15.0,Adrian Peterson,0.0,0.0
32.0,2.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,13.0,True,True,4.0,False,15.0,5.0,0.0,15.0,5.0,0.0,11.0,True,3.0,0.06302521,-0.903679144,-3.0,2023/10/3,2023/10/9,1.0,2023/10/2,2023/9/30,2023/10/2,10.0,8.0,11.66666667,11.66666667,Adrian Peterson,0.0,0.0
32.0,3.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,4.0,12.0,True,True,4.0,False,22.0,5.5,0.577350269,22.0,5.5,0.577350269,11.0,False,2.0,0.068111455,-1.009522952,7.0,2023/10/10,2023/10/16,1.0,2023/10/9,2023/10/7,2023/10/9,8.0,8.0,11.66666667,11.66666667,Adrian Peterson,0.0,0.0
32.0,4.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,11.0,True,True,4.0,True,21.0,7.0,0.0,21.0,7.0,0.0,7.0,True,5.0,0.0875,-0.279589409,-1.0,2023/10/17,2023/10/23,1.0,2023/10/16,2023/10/14,2023/10/16,7.0,7.0,8.333333333,8.333333333,Adrian Peterson,0.0,0.0
32.0,5.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,10.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/10/24,2023/10/30,1.0,2023/10/23,2023/10/21,2023/10/23,7.0,9.0,8.666666667,8.666666667,Adrian Peterson,0.0,0.0
32.0,6.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,4.0,9.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/10/31,2023/11/6,1.0,2023/10/30,2023/10/28,2023/10/30,14.0,14.0,11.0,11.0,Adrian Peterson,0.0,0.0
32.0,7.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,4.0,8.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/11/7,2023/11/13,1.0,2023/11/6,2023/11/4,2023/11/6,6.0,9.0,9.666666667,9.666666667,Adrian Peterson,0.0,0.0
32.0,8.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,4.0,7.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/11/14,2023/11/20,1.0,2023/11/13,2023/11/11,2023/11/13,5.0,5.0,5.333333333,5.333333333,Adrian Peterson,0.0,0.0
32.0,9.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,4.0,6.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/11/21,2023/11/27,1.0,2023/11/20,2023/11/18,2023/11/20,8.0,5.0,6.0,6.0,Adrian Peterson,0.0,0.0
32.0,10.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,5.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/11/28,2023/12/4,1.0,2023/11/27,2023/11/25,2023/11/27,27.0,100.0,27.0,27.0,Adrian Peterson,0.0,0.0
32.0,11.0,True,11.0,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,Eliminated Week 4,11.0,3.0,5.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2023/12/5,2023/12/5,1.0,2023/12/4,2023/12/2,2023/12/4,22.0,34.0,19.66666667,19.66666667,Adrian Peterson,0.0,0.0
10.0,1.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,11.0,True,True,4.0,False,15.0,5.0,0.0,15.0,5.0,0.0,10.0,False,2.0,0.071770335,-1.184697756,,2010/3/22,2010/3/28,1.0,2010/3/21,2010/3/22,2010/3/22,,8.0,8.0,8.0,Aiden Turner,0.0,0.0
10.0,2.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,11.0,True,True,4.0,False,19.0,6.333333333,0.577350269,19.0,6.333333333,0.577350269,8.0,False,4.0,0.086363636,-0.223606798,4.0,2010/3/29,2010/4/4,2.0,2010/3/28,2010/3/26,2010/3/28,12.0,0.0,5.666666667,5.666666667,Aiden Turner,0.0,0.0
10.0,3.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,10.0,True,True,4.0,False,20.0,6.666666667,0.577350269,20.0,6.666666667,0.577350269,7.5,True,3.5,0.098522167,-0.07890488,1.0,2010/4/5,2010/4/11,2.0,2010/4/4,2010/4/2,2010/4/4,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,4.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,9.0,True,True,4.0,True,16.5,5.5,0.0,16.5,5.5,0.0,8.0,False,2.0,0.088948787,-1.12208184,-3.5,2010/4/12,2010/4/18,2.0,2010/4/11,2010/4/9,2010/4/11,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,5.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,8.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/4/19,2010/4/25,2.0,2010/4/18,2010/4/16,2010/4/18,0.0,0.0,2.333333333,2.333333333,Aiden Turner,0.0,0.0
10.0,6.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,7.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/4/26,2010/5/2,2.0,2010/4/25,2010/4/23,2010/4/25,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,7.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,6.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/5/3,2010/5/9,2.0,2010/5/2,2010/4/30,2010/5/2,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,8.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,5.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/5/10,2010/5/16,2.0,2010/5/9,2010/5/7,2010/5/9,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,9.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,4.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/5/17,2010/5/23,2.0,2010/5/16,2010/5/14,2010/5/16,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,10.0,True,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,3.0,3.0,False,False,4.0,False,0.0,0.0,0.0,,,,,False,,,,,2010/5/24,2010/5/25,2.0,2010/5/23,2010/5/21,2010/5/23,0.0,0.0,0.0,0.0,Aiden Turner,0.0,0.0
10.0,11.0,False,10.0,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32.0,Eliminated Week 4,9.0,0.0,0.0,False,False,4.0,False,0.0,,,,,,,False,,,,,,,,,,,,,,,Aiden Turner,0.0,0.0
5.0,1.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,12.0,True,True,2.0,False,21.0,7.0,0.0,21.0,7.0,0.0,7.0,True,6.0,0.081712062,-0.141844945,,2007/9/24,2007/9/30,3.0,2007/9/23,2007/9/24,2007/9/24,,19.0,19.0,19.0,Albert Reed,0.0,0.0
5.0,2.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,11.0,True,True,2.0,True,21.0,7.0,0.0,21.0,7.0,0.0,7.0,True,5.0,0.088235294,-0.188025358,0.0,2007/10/1,2007/10/7,2.0,2007/9/30,2007/9/28,2007/9/30,11.0,10.0,11.33333333,11.33333333,Albert Reed,0.0,0.0
5.0,3.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,10.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/10/8,2007/10/14,2.0,2007/10/7,2007/10/5,2007/10/7,0.0,4.0,4.666666667,4.666666667,Albert Reed,0.0,0.0
5.0,4.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,9.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/10/15,2007/10/21,2.0,2007/10/14,2007/10/12,2007/10/14,0.0,0.0,1.333333333,1.333333333,Albert Reed,0.0,0.0
5.0,5.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,8.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/10/22,2007/10/28,2.0,2007/10/21,2007/10/19,2007/10/21,0.0,0.0,0.0,0.0,Albert Reed,0.0,0.0
5.0,6.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,7.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/10/29,2007/11/4,2.0,2007/10/28,2007/10/26,2007/10/28,0.0,0.0,0.0,0.0,Albert Reed,0.0,0.0
5.0,7.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,6.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/11/5,2007/11/11,2.0,2007/11/4,2007/11/2,2007/11/4,0.0,0.0,0.0,0.0,Albert Reed,0.0,0.0
5.0,8.0,True,10.0,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22.0,Eliminated Week 2,11.0,3.0,5.0,False,False,2.0,False,0.0,0.0,0.0,,,,,False,,,,,2007/11/12,2007/11/18,2.0,2007/11/11,2007/11/9,2007/11/11,0.0,0.0,0.0,0.0,Albert Reed,0.0,0.0
