row_idx,name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
275,Emmitt Smith,2006-11-14,Q1338802,3,0,0,0.0
276,Harry Hamlin,2006-11-14,Q567830,0,0,0,0.0
277,Jerry Springer,2006-11-14,Q27214,0,0,0,0.0
278,Joey Lawrence,2006-11-14,Q550395,0,0,0,0.0
279,Mario Lopez,2006-11-14,Q372559,0,0,0,0.0
280,Monique Coleman,2006-11-14,Q230194,0,0,0,0.0
281,Sara Evans,2006-11-14,Q463989,0,0,0,0.0
282,Shanna Moakler,2006-11-14,Q258736,1,1,1,1.0
283,Tucker Carlson,2006-11-14,Q743162,2,2,0,1.0
284,Vivica A. Fox,2006-11-14,Q220396,0,0,0,0.0
285,Willa Ford,2006-11-14,Q262396,0,0,0,0.0
286,Emmitt Smith,,Q1338802,0,0,0,0.0
287,Harry Hamlin,,Q567830,0,0,0,0.0
288,Jerry Springer,,Q27214,0,0,0,0.0
289,Joey Lawrence,,Q550395,0,0,0,0.0
290,Mario Lopez,,Q372559,0,0,0,0.0
291,Monique Coleman,,Q230194,0,0,0,0.0
292,Sara Evans,,Q463989,0,0,0,0.0
293,Shanna Moakler,,Q258736,0,0,0,0.0
294,Tucker Carlson,,Q743162,0,0,0,0.0
295,Vivica A. Fox,,Q220396,0,0,0,0.0
296,Willa Ford,,Q262396,0,0,0,0.0
297,Apolo Anton Ohno,2007-03-19,Q329738,0,0,0,0.0
298,Billy Ray Cyrus,2007-03-19,Q231259,4,4,3,1.0
299,Clyde Drexler,2007-03-19,Q295340,5,5,5,1.0
300,Heather Mills,2007-03-19,Q128805805,0,0,0,0.0
301,Ian Ziering,2007-03-19,Q352233,0,0,0,0.0
302,Joey Fatone,2007-03-19,Q1640877,0,0,0,0.0
303,John Ratzenberger,2007-03-19,Q374093,0,0,0,0.0
304,Laila Ali,2007-03-19,Q255099,2,1,0,0.5
305,Leeza Gibbons,2007-03-19,Q512367,2,0,0,0.0
306,Paulina Porizkova,2007-03-19,Q236154,1,1,0,1.0
307,Shandi Finnessey,2007-03-19,Q2632936,0,0,0,0.0
308,Apolo Anton Ohno,2007-03-26,Q329738,0,0,0,0.0
309,Billy Ray Cyrus,2007-03-26,Q231259,4,4,3,1.0
310,Clyde Drexler,2007-03-26,Q295340,5,5,5,1.0
311,Heather Mills,2007-03-26,Q128805805,0,0,0,0.0
312,Ian Ziering,2007-03-26,Q352233,0,0,0,0.0
313,Joey Fatone,2007-03-26,Q1640877,0,0,0,0.0
314,John Ratzenberger,2007-03-26,Q374093,0,0,0,0.0
315,Laila Ali,2007-03-26,Q255099,2,1,0,0.5
316,Leeza Gibbons,2007-03-26,Q512367,2,0,0,0.0
317,Paulina Porizkova,2007-03-26,Q236154,1,1,0,1.0
318,Shandi Finnessey,2007-03-26,Q2632936,0,0,0,0.0
319,Apolo Anton Ohno,2007-04-02,Q329738,0,0,0,0.0
320,Billy Ray Cyrus,2007-04-02,Q231259,4,4,3,1.0
321,Clyde Drexler,2007-04-02,Q295340,5,5,5,1.0
322,Heather Mills,2007-04-02,Q128805805,0,0,0,0.0
323,Ian Ziering,2007-04-02,Q352233,0,0,0,0.0
324,Joey Fatone,2007-04-02,Q1640877,0,0,0,0.0
325,John Ratzenberger,2007-04-02,Q374093,0,0,0,0.0
326,Laila Ali,2007-04-02,Q255099,2,1,0,0.5
327,Leeza Gibbons,2007-04-02,Q512367,2,0,0,0.0
328,Paulina Porizkova,2007-04-02,Q236154,1,1,0,1.0
329,Shandi Finnessey,2007-04-02,Q2632936,0,0,0,0.0
330,Apolo Anton Ohno,2007-04-09,Q329738,0,0,0,0.0
331,Billy Ray Cyrus,2007-04-09,Q231259,4,4,3,1.0
332,Clyde Drexler,2007-04-09,Q295340,5,5,5,1.0
333,Heather Mills,2007-04-09,Q128805805,0,0,0,0.0
334,Ian Ziering,2007-04-09,Q352233,0,0,0,0.0
335,Joey Fatone,2007-04-09,Q1640877,0,0,0,0.0
336,John Ratzenberger,2007-04-09,Q374093,0,0,0,0.0
337,Laila Ali,2007-04-09,Q255099,2,1,0,0.5
338,Leeza Gibbons,2007-04-09,Q512367,2,0,0,0.0
339,Paulina Porizkova,2007-04-09,Q236154,1,1,0,1.0
340,Shandi Finnessey,2007-04-09,Q2632936,0,0,0,0.0
341,Apolo Anton Ohno,2007-04-16,Q329738,0,0,0,0.0
342,Billy Ray Cyrus,2007-04-16,Q231259,4,4,3,1.0
343,Clyde Drexler,2007-04-16,Q295340,5,5,5,1.0
344,Heather Mills,2007-04-16,Q128805805,0,0,0,0.0
345,Ian Ziering,2007-04-16,Q352233,0,0,0,0.0
346,Joey Fatone,2007-04-16,Q1640877,0,0,0,0.0
347,John Ratzenberger,2007-04-16,Q374093,0,0,0,0.0
348,Laila Ali,2007-04-16,Q255099,2,1,0,0.5
349,Leeza Gibbons,2007-04-16,Q512367,2,0,0,0.0
350,Paulina Porizkova,2007-04-16,Q236154,1,1,0,1.0
351,Shandi Finnessey,2007-04-16,Q2632936,0,0,0,0.0
352,Apolo Anton Ohno,2007-04-23,Q329738,0,0,0,0.0
353,Billy Ray Cyrus,2007-04-23,Q231259,4,4,3,1.0
354,Clyde Drexler,2007-04-23,Q295340,5,5,5,1.0
355,Heather Mills,2007-04-23,Q128805805,0,0,0,0.0
356,Ian Ziering,2007-04-23,Q352233,0,0,0,0.0
357,Joey Fatone,2007-04-23,Q1640877,0,0,0,0.0
358,John Ratzenberger,2007-04-23,Q374093,0,0,0,0.0
359,Laila Ali,2007-04-23,Q255099,2,1,0,0.5
360,Leeza Gibbons,2007-04-23,Q512367,2,0,0,0.0
361,Paulina Porizkova,2007-04-23,Q236154,1,1,0,1.0
362,Shandi Finnessey,2007-04-23,Q2632936,0,0,0,0.0
363,Apolo Anton Ohno,2007-04-30,Q329738,0,0,0,0.0
364,Billy Ray Cyrus,2007-04-30,Q231259,4,4,3,1.0
365,Clyde Drexler,2007-04-30,Q295340,5,5,5,1.0
366,Heather Mills,2007-04-30,Q128805805,0,0,0,0.0
367,Ian Ziering,2007-04-30,Q352233,0,0,0,0.0
368,Joey Fatone,2007-04-30,Q1640877,0,0,0,0.0
369,John Ratzenberger,2007-04-30,Q374093,0,0,0,0.0
370,Laila Ali,2007-04-30,Q255099,2,1,0,0.5
371,Leeza Gibbons,2007-04-30,Q512367,2,0,0,0.0
372,Paulina Porizkova,2007-04-30,Q236154,1,1,0,1.0
373,Shandi Finnessey,2007-04-30,Q2632936,0,0,0,0.0
374,Apolo Anton Ohno,2007-05-07,Q329738,0,0,0,0.0
375,Billy Ray Cyrus,2007-05-07,Q231259,4,4,3,1.0
376,Clyde Drexler,2007-05-07,Q295340,5,5,5,1.0
377,Heather Mills,2007-05-07,Q128805805,0,0,0,0.0
378,Ian Ziering,2007-05-07,Q352233,0,0,0,0.0
379,Joey Fatone,2007-05-07,Q1640877,0,0,0,0.0
380,John Ratzenberger,2007-05-07,Q374093,0,0,0,0.0
381,Laila Ali,2007-05-07,Q255099,2,1,0,0.5
382,Leeza Gibbons,2007-05-07,Q512367,2,0,0,0.0
383,Paulina Porizkova,2007-05-07,Q236154,1,1,0,1.0
384,Shandi Finnessey,2007-05-07,Q2632936,0,0,0,0.0
385,Apolo Anton Ohno,2007-05-14,Q329738,0,0,0,0.0
386,Billy Ray Cyrus,2007-05-14,Q231259,4,4,3,1.0
387,Clyde Drexler,2007-05-14,Q295340,5,5,5,1.0
388,Heather Mills,2007-05-14,Q128805805,0,0,0,0.0
389,Ian Ziering,2007-05-14,Q352233,0,0,0,0.0
390,Joey Fatone,2007-05-14,Q1640877,0,0,0,0.0
391,John Ratzenberger,2007-05-14,Q374093,0,0,0,0.0
392,Laila Ali,2007-05-14,Q255099,2,1,0,0.5
393,Leeza Gibbons,2007-05-14,Q512367,2,0,0,0.0
394,Paulina Porizkova,2007-05-14,Q236154,1,1,0,1.0
395,Shandi Finnessey,2007-05-14,Q2632936,0,0,0,0.0
396,Apolo Anton Ohno,2007-05-21,Q329738,0,0,0,0.0
397,Billy Ray Cyrus,2007-05-21,Q231259,4,4,3,1.0
398,Clyde Drexler,2007-05-21,Q295340,5,5,5,1.0
399,Heather Mills,2007-05-21,Q128805805,0,0,0,0.0
400,Ian Ziering,2007-05-21,Q352233,0,0,0,0.0
401,Joey Fatone,2007-05-21,Q1640877,0,0,0,0.0
402,John Ratzenberger,2007-05-21,Q374093,0,0,0,0.0
403,Laila Ali,2007-05-21,Q255099,2,1,0,0.5
404,Leeza Gibbons,2007-05-21,Q512367,2,0,0,0.0
405,Paulina Porizkova,2007-05-21,Q236154,1,1,0,1.0
406,Shandi Finnessey,2007-05-21,Q2632936,0,0,0,0.0
407,Apolo Anton Ohno,,Q329738,0,0,0,0.0
408,Billy Ray Cyrus,,Q231259,0,0,0,0.0
409,Clyde Drexler,,Q295340,0,0,0,0.0
410,Heather Mills,,Q128805805,0,0,0,0.0
411,Ian Ziering,,Q352233,0,0,0,0.0
412,Joey Fatone,,Q1640877,0,0,0,0.0
413,John Ratzenberger,,Q374093,0,0,0,0.0
414,Laila Ali,,Q255099,0,0,0,0.0
415,Leeza Gibbons,,Q512367,0,0,0,0.0
416,Paulina Porizkova,,Q236154,0,0,0,0.0
417,Shandi Finnessey,,Q2632936,0,0,0,0.0
418,Albert Reed,2007-09-24,Q4711088,0,0,0,0.0
419,Cameron Mathison,2007-09-24,Q3651353,1,1,1,1.0
420,Floyd Mayweather Jr.,2007-09-24,Q318204,3,2,0,0.6666666666666666
421,Helio Castroneves,2007-09-24,Q454058,0,0,0,0.0
422,Jane Seymour,2007-09-24,Q123849,5,3,3,0.6
423,Jennie Garth,2007-09-24,Q230015,2,2,1,1.0
424,Josie Maran,2007-09-24,Q241025,0,0,0,0.0
425,Marie Osmond,2007-09-24,Q465641,0,0,0,0.0
426,Mark Cuban,2007-09-24,Q318503,0,0,0,0.0
427,Mel B,2007-09-24,Q349690,3,2,2,0.6666666666666666
428,Sabrina Bryan,2007-09-24,Q256708,0,0,0,0.0
429,Wayne Newton,2007-09-24,Q552806,4,1,1,0.25
430,Albert Reed,2007-10-01,Q4711088,0,0,0,0.0
431,Cameron Mathison,2007-10-01,Q3651353,1,1,1,1.0
432,Floyd Mayweather Jr.,2007-10-01,Q318204,3,2,0,0.6666666666666666
433,Helio Castroneves,2007-10-01,Q454058,0,0,0,0.0
434,Jane Seymour,2007-10-01,Q123849,5,3,3,0.6
435,Jennie Garth,2007-10-01,Q230015,2,2,1,1.0
