season,week,week_exists,season_len,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,judge_n,n_alive_w,performed,in_competition,elim_week,eliminated_end_of_week,j_total_raw,j_mean_raw,j_sd_raw,j_total,j_mean,j_sd,j_rank,tie_flag,j_points_rank,j_pct,j_z_within_week,delta_j_total,week_start,week_end,num_episodes,trend_date,window_start,window_end,trend_preday,trend_startday,trend_used_window_mean,trend_used
1,2,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,6,TRUE,TRUE,4,FALSE,24,8,0,24,8,0,2,FALSE,5,0.198347107,0.862203668,4,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,28,28
1,2,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,6,TRUE,TRUE,2,TRUE,19,6.333333333,0.577350269,19,6.333333333,0.577350269,4,FALSE,3,0.157024793,-0.262409812,1,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,0,0
1,3,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,5,TRUE,TRUE,3,TRUE,13,4.333333333,0.577350269,13,4.333333333,0.577350269,5,FALSE,1,0.122641509,-1.649929455,-1,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,0,0,0,0
1,3,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,5,TRUE,TRUE,5,FALSE,22,7.333333333,0.577350269,22,7.333333333,0.577350269,3,FALSE,3,0.20754717,0.160968727,1,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,0,0,0,0
1,3,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,5,TRUE,TRUE,6,FALSE,24,8,1,24,8,1,2,FALSE,4,0.226415094,0.563390546,-2,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,0,0,0,0
1,3,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,5,TRUE,TRUE,6,FALSE,21,7,1,21,7,1,4,FALSE,2,0.198113208,-0.040242182,4,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,8,8,11,11
1,3,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,5,TRUE,TRUE,4,FALSE,26,8.666666667,0.577350269,26,8.666666667,0.577350269,1,FALSE,5,0.245283019,0.965812364,2,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,0,30,0,0
1,3,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,5,FALSE,FALSE,2,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/15,2005/6/21,1,2005/6/14,2005/6/12,2005/6/14,0,0,0,0
1,4,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,4,FALSE,FALSE,3,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,0,0,0,0
1,4,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,4,TRUE,TRUE,5,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,4,FALSE,1,0.217391304,-1.019049331,-2,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,0,0,0,0
1,4,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,4,TRUE,TRUE,6,FALSE,21,7,1,21,7,1,3,FALSE,2,0.22826087,-0.67936622,-3,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,0,0,0,0
1,4,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,4,TRUE,TRUE,6,FALSE,26,8.666666667,0.577350269,26,8.666666667,0.577350269,1,FALSE,4,0.282608696,1.019049331,5,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,10,15,6,6
1,4,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,4,TRUE,TRUE,4,TRUE,25,8.333333333,1.154700538,25,8.333333333,1.154700538,2,FALSE,3,0.27173913,0.67936622,-1,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,0,0,6.666666667,6.666666667
1,4,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,4,FALSE,FALSE,2,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/22,2005/6/28,1,2005/6/21,2005/6/19,2005/6/21,0,0,0,0
1,5,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,3,FALSE,FALSE,3,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,0,0,0,0
1,5,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,3,TRUE,TRUE,5,TRUE,22.5,7.5,0.866025404,22.5,7.5,0.866025404,3,FALSE,1,0.308219178,-0.775880177,2.5,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,0,0,0,0
1,5,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,3,TRUE,TRUE,6,FALSE,27,9,0,27,9,0,1,FALSE,3,0.369863014,1.128552985,6,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,0,0,0,0
1,5,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,3,TRUE,TRUE,6,FALSE,23.5,7.833333333,0.577350269,23.5,7.833333333,0.577350269,2,FALSE,2,0.321917808,-0.352672808,-2.5,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,27,22,19.33333333,19.33333333
1,5,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,3,FALSE,FALSE,4,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,28,31,17,17
1,5,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,3,FALSE,FALSE,2,FALSE,0,0,0,,,,,FALSE,,,,,2005/6/29,2005/7/5,1,2005/6/28,2005/6/26,2005/6/28,0,0,0,0
1,6,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,2,FALSE,FALSE,3,FALSE,0,0,0,,,,,FALSE,,,,,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,0,0,0,0
1,6,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,2,FALSE,FALSE,5,FALSE,0,0,0,,,,,FALSE,,,,,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,0,0,0,0
1,6,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,2,TRUE,TRUE,6,FALSE,27,9,0,27,9,0,2,FALSE,1,0.495412844,-0.707106781,0,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,0,0,0,0
1,6,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,2,TRUE,TRUE,6,FALSE,27.5,9.166666667,0.577350269,27.5,9.166666667,0.577350269,1,FALSE,2,0.504587156,0.707106781,4,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,25,49,26.66666667,26.66666667
1,6,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,2,FALSE,FALSE,4,FALSE,0,0,0,,,,,FALSE,,,,,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,19,27,16,16
1,6,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,2,FALSE,FALSE,2,FALSE,0,0,0,,,,,FALSE,,,,,2005/7/6,2005/7/6,1,2005/7/5,2005/7/3,2005/7/5,0,0,0,0
1,7,FALSE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0,0,FALSE,FALSE,3,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,7,FALSE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0,0,FALSE,FALSE,5,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,7,FALSE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,7,FALSE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,7,FALSE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0,0,FALSE,FALSE,4,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,7,FALSE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0,0,FALSE,FALSE,2,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0,0,FALSE,FALSE,3,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0,0,FALSE,FALSE,5,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0,0,FALSE,FALSE,4,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,8,FALSE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0,0,FALSE,FALSE,2,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0,0,FALSE,FALSE,3,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0,0,FALSE,FALSE,5,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0,0,FALSE,FALSE,4,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,9,FALSE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0,0,FALSE,FALSE,2,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0,0,FALSE,FALSE,3,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0,0,FALSE,FALSE,5,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0,0,FALSE,FALSE,4,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,10,FALSE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0,0,FALSE,FALSE,2,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,0,0,FALSE,FALSE,3,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,0,0,FALSE,FALSE,5,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,0,0,FALSE,FALSE,6,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,0,0,FALSE,FALSE,4,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
1,11,FALSE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,0,0,FALSE,FALSE,2,FALSE,0,,,,,,,FALSE,,,,,,,,,,,,,,
2,1,TRUE,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,3,10,TRUE,TRUE,8,FALSE,24,8,0,24,8,0,1,FALSE,10,0.123076923,1.086099282,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,0,0,0
2,1,TRUE,8,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,3,10,TRUE,TRUE,6,FALSE,18,6,1,18,6,1,8,FALSE,3,0.092307692,-0.362033094,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,8,8,8
2,1,TRUE,8,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,3,10,TRUE,TRUE,3,FALSE,23,7.666666667,0.577350269,23,7.666666667,0.577350269,2.5,TRUE,8.5,0.117948718,0.844743886,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,0,0,0
2,1,TRUE,8,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,3,10,TRUE,TRUE,8,FALSE,21,7,0,21,7,0,5,FALSE,6,0.107692308,0.362033094,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,37,37,37
2,1,TRUE,8,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,3,10,TRUE,TRUE,1,TRUE,13,4.333333333,0.577350269,13,4.333333333,0.577350269,9,FALSE,2,0.066666667,-1.568810074,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,100,100,100
2,1,TRUE,8,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,3,10,TRUE,TRUE,7,FALSE,19,6.333333333,1.154700538,19,6.333333333,1.154700538,7,FALSE,4,0.097435897,-0.120677698,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,13,13,13
2,1,TRUE,8,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,3,10,TRUE,TRUE,4,FALSE,12,4,0,12,4,0,10,FALSE,1,0.061538462,-1.81016547,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,0,0,0
2,1,TRUE,8,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,3,10,TRUE,TRUE,8,FALSE,22,7.333333333,1.154700538,22,7.333333333,1.154700538,4,FALSE,7,0.112820513,0.60338849,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,44,44,44
2,1,TRUE,8,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,3,10,TRUE,TRUE,2,FALSE,23,7.666666667,0.577350269,23,7.666666667,0.577350269,2.5,TRUE,8.5,0.117948718,0.844743886,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,0,0,0
2,1,TRUE,8,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,3,10,TRUE,TRUE,5,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,6,FALSE,5,0.102564103,0.120677698,,2006/1/5,2006/1/11,2,2006/1/4,2006/1/5,2006/1/5,,55,55,55
2,2,TRUE,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,3,9,TRUE,TRUE,8,FALSE,27,9,0,27,9,0,2,FALSE,8,0.135,1.127874915,3,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,0,0,0
2,2,TRUE,8,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,3,9,TRUE,TRUE,6,FALSE,22,7.333333333,0.577350269,22,7.333333333,0.577350269,5.5,TRUE,4.5,0.11,-0.052459298,4,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,0,0,0
2,2,TRUE,8,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,3,9,TRUE,TRUE,3,FALSE,24,8,0,24,8,0,3,FALSE,7,0.12,0.419674387,1,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,0,0,0
2,2,TRUE,8,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,3,9,TRUE,TRUE,8,FALSE,23,7.666666667,0.577350269,23,7.666666667,0.577350269,4,FALSE,6,0.115,0.183607544,2,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,27,6.666666667,6.666666667
2,2,TRUE,8,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,3,9,FALSE,FALSE,1,FALSE,0,0,0,,,,,FALSE,,,,,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,0,14.33333333,14.33333333
2,2,TRUE,8,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,3,9,TRUE,TRUE,7,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,7,FALSE,3,0.1,-0.524592984,1,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,13,16,7.666666667,7.666666667
2,2,TRUE,8,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,3,9,TRUE,TRUE,4,FALSE,16,5.333333333,0.577350269,16,5.333333333,0.577350269,9,FALSE,1,0.08,-1.468860354,4,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,21,0,17.66666667,17.66666667
2,2,TRUE,8,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,3,9,TRUE,TRUE,8,FALSE,29,9.666666667,0.577350269,29,9.666666667,0.577350269,1,FALSE,9,0.145,1.6000086,7,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,10,8,11.66666667,11.66666667
2,2,TRUE,8,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,3,9,TRUE,TRUE,2,TRUE,17,5.666666667,0.577350269,17,5.666666667,0.577350269,8,FALSE,2,0.085,-1.232793511,-6,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,0,23,0,0
2,2,TRUE,8,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,3,9,TRUE,TRUE,5,FALSE,22,7.333333333,0.577350269,22,7.333333333,0.577350269,5.5,TRUE,4.5,0.11,-0.052459298,2,2006/1/12,2006/1/18,2,2006/1/11,2006/1/9,2006/1/11,32,0,10.66666667,10.66666667
2,3,TRUE,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,3,8,TRUE,TRUE,8,FALSE,27,9,0,27,9,0,1.5,TRUE,7.5,0.148351648,0.938667972,0,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,0,0,0,0
2,3,TRUE,8,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,3,8,TRUE,TRUE,6,FALSE,22,7.333333333,0.577350269,22,7.333333333,0.577350269,5.5,TRUE,3.5,0.120879121,-0.165647289,0,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,0,0,0,0
2,3,TRUE,8,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,3,8,TRUE,TRUE,3,TRUE,22,7.333333333,0.577350269,22,7.333333333,0.577350269,5.5,TRUE,3.5,0.120879121,-0.165647289,-2,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,0,0,0,0
2,3,TRUE,8,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,3,8,TRUE,TRUE,8,FALSE,19,6.333333333,0.577350269,19,6.333333333,0.577350269,7,FALSE,2,0.104395604,-0.828236446,-4,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,24,29,14.66666667,14.66666667
2,3,TRUE,8,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,3,8,FALSE,FALSE,1,FALSE,0,0,0,,,,,FALSE,,,,,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,0,0,0,0
2,3,TRUE,8,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,3,8,TRUE,TRUE,7,FALSE,25,8.333333333,0.577350269,25,8.333333333,0.577350269,4,FALSE,5,0.137362637,0.496941867,5,2006/1/19,2006/1/25,2,2006/1/18,2006/1/16,2006/1/18,19,8,17.66666667,17.66666667
